display_name,tvg_id,country,logo
#0,0.es,es,
1+1,1Plus1.ua,ua,
1-2-3 TV,123TV.de,de,
10 Bold,10Bold.au,au,https://i.mjh.nz/.images/tv.101406020627.png
10 Peach,10Peach.au,au,https://i.mjh.nz/.images/tv.101406020628.png
13 Ulica,13Ulica.us,us,
13th Street Deutschland,13thStreetDeutschland.us,us,
13ème Rue,13emeRue.us,us,
1HD Music TV,1HDMusicTV.ru,ru,
2+2,2Plus2.ua,ua,
20 Mediaset,20Mediaset.it,it,https://upload.wikimedia.org/wikipedia/it/e/e4/20_Mediaset_-_Logo_2018.svg
24 Kanal,24Kanal.ua,ua,
24 Kitchen Bulgaria,24KitchenBulgaria.us,us,
24 Kitchen Hrvatska,24KitchenHrvatska.us,us,
24 Kitchen Portugal,24KitchenPortugal.us,us,
24 Kitchen Srbija,24KitchenSrbija.us,us,
24 Krim,24Krim.ru,ru,
24 TV,24TV.tr,tr,
2M Monde,2MMonde.ma,ma,https://i.imgur.com/CwwRn4b.png
3 Plus,3Plus.al,al,
3+ Latvija,3PlusLatvija.lv,lv,
31 Kanal,31Kanal.kz,kz,
34 Telekanal,34Telekanal.ua,ua,
360,360.tr,tr,
360 Tune Box,360TuneBox.us,us,
365 dnei TV,365dneiTV.ru,ru,
3ABN English,3ABNEnglish.us,us,https://cdn.tvpassport.com/image/station/100x100/3abn.png
3sat,3sat.de,de,
4 Fun Dance,4FunDance.pl,pl,
4 Fun Kids,4FunKids.pl,pl,
4 Fun TV,4FunTV.pl,pl,
4 Kanal,4Kanal.ua,ua,
4E,4E.gr,gr,
4Music,4Music.uk,uk,https://d126oek9ze5bb6.cloudfront.net/uploads/2018/07/4Music_primary.png
4Seven,4Seven.uk,uk,
5 Kanal,5Kanal.ua,ua,
5 Kanal,5Kanal.ru,ru,
5 Select,5Select.uk,uk,
5 Star,5Star.uk,uk,
5 StarMax,5StarMax.us,us,https://cdn.tvpassport.com/image/station/100x100/5max.png
5 USA,5USA.uk,uk,
6ter,6ter.fr,fr,
7 flix,7flix.au,au,https://i.mjh.nz/.images/tv.101305020525.png
7 mate,7mate.au,au,https://i.mjh.nz/.images/tv.101305020523.png
7 Televisión Región de Murcia,7TelevisionRegiondeMurcia.es,es,https://i.imgur.com/M0JqHa9.png
7 TV,7TV.ru,ru,
7 Two,7Two.au,au,
7D7,7D7.ee,ee,
8 Kanal,8Kanal.ua,ua,
8 Kanal International,8KanalInternational.ru,ru,
8TV,8TV.my,my,https://www.xtra.com.my/wp-content/themes/xtra_revamp/assets/img/tv8.png
9 Go!,9Go.au,au,https://i.mjh.nz/.images/tv.101204200428.png
9 Life,9Life.au,au,https://i.mjh.nz/.images/tv.101204200424.png
9 Volna,9Volna.ru,ru,
92 News,92News.pk,pk,https://i.imgur.com/OifwcrE.png
A Bola TV,ABolaTV.pt,pt,
A Haber,AHaber.tr,tr,
A Spor,ASpor.tr,tr,
A&E Brasil,AEBrasil.us,us,
A&E Canada,AECanada.us,us,https://cdn.tvpassport.com/image/station/100x100/aande.png
A&E East,AEEast.us,us,
A&E Latinoamérica,AELatinoamerica.us,us,
A&E West,AEWest.us,us,https://cdn.tvpassport.com/image/station/100x100/aande.png
A+,APlus.fr,fr,
A.Side,ASide.ca,ca,https://cdn.tvpassport.com/image/station/100x100/a_sidetv.png
A1,A1.ru,ru,https://i.imgur.com/lXlwfyw.png
A2,A2.ru,ru,https://i.imgur.com/GwQgT6X.png
Aaj Tak,AajTak.in,in,https://cdn.tvpassport.com/image/station/100x100/aajtak.png
Aaj Tak International,AajTakInternational.in,in,https://cdn.tvpassport.com/image/station/100x100/aajtak.png
Aapka Colors,AapkaColors.in,in,https://cdn.tvpassport.com/image/station/100x100/aapkacolors.png
AB 1,AB1.fr,fr,
AB 3,AB3.fr,fr,
ABC Australia Asia,ABCAustraliaAsia.au,au,
ABC News,ABCNews.au,au,
ABC Spark,ABCSpark.us,us,https://cdn.tvpassport.com/image/station/100x100/abcspark.png
